8,S,2
0.2,S,2
0.2,S,2
0.2,S,2
0.2,S,2
0.2,S,2
0.2,S,2
3,M,5
0,M,6
0,M,7
0,M,8
4,S,1
0,S,3
0.2,S,1
0,S,3
0.2,S,1
0,S,3
0.2,S,1
0,S,3
0.2,S,1
0,S,3
3,L,2
5,M,2
0.2,M,1
0,M,3
0.2,M,0
0,M,4
3,L,8
0,L,6
0.4,L,7
0,L,5
3,S,0
0,S,4
0.2,S,1
0,S,3
3,S,1
0.2,S,1
0.2,S,1
0.2,S,1
0.2,S,1
0.2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
2,M,2
0.2,M,1
0,M,3
0.2,M,0
0,M,4
1,M,2
0.2,M,1
0,M,3
0.2,M,0
0,M,4
4,L,0
0,L,4
3,L,1
0,L,3
3,L,2
3,L,2
3,L,1
0,L,3
3,L,0
0,L,4
5,M,5
0,M,6
0,M,7
0,M,8
0.2,M,2
0.2,M,1
0,M,3
0.2,M,0
0,M,4
3,L,2
2,L,1
0,L,3
2,L,0
0,L,4
10,B,2
